"question_no","question","option1","option2","option3","option4","correct_answer","description","reference"
"11","बांबू मिशनसाठी टास्कफोर्स बनवणारे देशातील पहिले राज्य कोणते आहे?","त्रिपुरा","महाराष्ट्र","आसाम","अरुणाचल प्रदेश","3","आसाम हे पहिले राज्य आहे ज्याने बांबू मिशनसाठी टास्कफोर्स बनवली.","(1 liner - current)"
"12","गुगल क्लासरूम सुरू करणारे देशातील पहिले राज्य कोणते?","दिल्ली","महाराष्ट्र","तेलंगणा","पश्चिम बंगाल","2","महाराष्ट्र हे पहिले राज्य आहे ज्याने गुगल क्लासरूम सुरू केले.","(1 liner - current)"
"13","आर्थिक वर्ष २०२४-२५ मध्ये सर्वाधिक परदेशी थेट गुंतवणूक आकर्षित करणारे राज्य कोणते?","कर्नाटक","गुजरात","महाराष्ट्र","तामिळनाडू","3","महाराष्ट्र हे राज्य आहे ज्याने सर्वाधिक परदेशी थेट गुंतवणूक आकर्षित केली.","(1 liner - current)"
"14","१ एप्रिल २०२५ पासून नवीन 'इलेक्ट्रिक वाहन धोरण' लागू करणारे राज्य कोणते?","दिल्ली","गुजरात","महाराष्ट्र","उत्तर प्रदेश","3","महाराष्ट्र हे पहिले राज्य आहे ज्याने नवीन इलेक्ट्रिक वाहन धोरण लागू केले.","(1 liner - current)"
"15","'एग्रिस्टॅक' कृषी डिजिटल सार्वजनिक पायाभूत सुविधा सुरू करणारे राज्य कोणते?","पंजाब","हरियाणा","महाराष्ट्र","राजस्थान","2","हरियाणा हे पहिले राज्य आहे ज्याने एग्रिस्टॅक डिजिटल पायाभूत सुविधा सुरू केली.","(1 liner - current)"
"16","सायबर सुरक्षा कवच प्रकल्प सुरू करणारे पहिले राज्य कोणते?","केरळ","कर्नाटक","महाराष्ट्र","पश्चिम बंगाल","1","केरळ हे पहिले राज्य आहे ज्याने सायबर सुरक्षा कवच प्रकल्प सुरू केला.","(1 liner - current)"
"17","लॉजिस्टिक्स व पर्यटन धोरण २०२४ जाहीर करणारे राज्य कोणते?","गोवा","केरळ","महाराष्ट्र","आंध्र प्रदेश","3","महाराष्ट्र हे राज्य आहे ज्याने लॉजिस्टिक्स आणि पर्यटन धोरण २०२४ जाहीर केले.","(1 liner - current)"
"18","'डिजिटल ग्रामसभा' संकल्पना राबवणारे भारतातील पहिले राज्य कोणते?","मध्य प्रदेश","महाराष्ट्र","उत्तर प्रदेश","छत्तीसगड","2","महाराष्ट्र हे पहिले राज्य आहे ज्याने डिजिटल ग्रामसभा संकल्पना राबवली.","(1 liner - current)"
"19","समुद्री जैवविविधतेच्या संरक्षणासाठी ब्ल्यू इकॉनॉमी धोरण जाहीर करणारे राज्य कोणते?","गुजरात","महाराष्ट्र","ओडिशा","पश्चिम बंगाल","2","महाराष्ट्र हे राज्य आहे ज्याने ब्ल्यू इकॉनॉमी धोरण जाहीर केले.","(1 liner - current)"
"20","देशात सर्वाधिक नवीन स्टार्टअप्स नोंदवणारे राज्य कोणते?","कर्नाटक","दिल्ली","महाराष्ट्र","तेलंगणा","1","कर्नाटक हे राज्य आहे जे देशात सर्वाधिक नवीन स्टार्टअप्स नोंदवते.","(1 liner - current)"
